Type;Type #;comment;like;share;Total Interactions;;;
Photo;2;4;79;17;100;;;
Status;3;5;130;29;164;;;
Photo;2;0;66;14;80;;;
Photo;2;58;1572;147;1777;;;
Photo;2;19;325;49;393;;;
Status;3;1;152;33;186;;;
Photo;2;3;249;27;279;;;
Photo;2;0;325;14;339;;;
Status;3;0;161;31;192;;;
Photo;2;3;113;26;142;;;
Status;3;0;233;19;252;;;
Photo;2;0;88;18;106;;;
Photo;2;0;90;14;104;;;
Photo;2;5;137;10;152;;;
Photo;2;2;577;20;599;;;
Status;3;4;86;18;108;;;
Photo;2;2;40;12;54;;;
Photo;2;15;678;20;713;;;
Status;3;4;54;17;75;;;
Photo;2;0;34;8;42;;;
Photo;2;3;66;12;81;;;
Photo;2;0;0;0;0;;;
Link;1;0;16;2;18;;;
Photo;2;0;72;24;96;;;
Status;3;3;99;19;121;;;
Status;3;0;88;18;106;;;
Status;3;10;412;72;494;;;
Photo;2;0;100;17;117;;;
Photo;2;36;523;63;622;;;
Video;4;18;143;13;174;;;
Photo;2;33;107;22;162;;;
Photo;2;1;27;11;39;;;
Photo;2;2;155;47;204;;;
Photo;2;4;98;23;125;;;
Photo;2;2;56;17;75;;;
Photo;2;6;172;21;199;;;
Photo;2;0;96;17;113;;;
Photo;2;16;76;8;100;;;
Status;3;11;227;31;269;;;
Photo;2;1;44;14;59;;;
Status;3;7;216;39;262;;;
Link;1;6;187;18;211;;;
Photo;2;7;26;3;36;;;
Link;1;7;29;10;46;;;
Photo;2;0;47;11;58;;;
Link;1;4;57;10;71;;;
Status;3;4;174;36;214;;;
Link;1;6;18;8;32;;;
Photo;2;0;77;15;92;;;
Link;1;1;12;1;14;;;
Photo;2;1;48;9;58;;;
Photo;2;24;285;28;337;;;
Photo;2;9;202;31;242;;;
Photo;2;4;64;19;87;;;
Photo;2;4;66;13;83;;;
Video;4;2;65;14;81;;;
Photo;2;2;164;54;220;;;
Photo;2;0;40;13;53;;;
Photo;2;3;76;11;90;;;
Photo;2;4;139;17;160;;;
Photo;2;8;101;14;123;;;
Photo;2;8;144;10;162;;;
Photo;2;10;179;13;202;;;
Photo;2;4;219;22;245;;;
Photo;2;2;60;7;69;;;
Photo;2;19;77;23;119;;;
Photo;2;0;48;7;55;;;
Photo;2;20;697;70;787;;;
Photo;2;0;53;17;70;;;
Photo;2;7;84;28;119;;;
Photo;2;7;146;9;162;;;
Video;4;17;449;84;550;;;
Status;3;3;226;44;273;;;
Photo;2;14;172;47;233;;;
Video;4;2;99;13;114;;;
Photo;2;20;411;74;505;;;
Photo;2;0;0;0;0;;;
Photo;2;4;85;8;97;;;
Photo;2;0;56;8;64;;;
Photo;2;2;29;7;38;;;
Status;3;2;86;13;101;;;
Photo;2;18;370;53;441;;;
Photo;2;5;190;57;252;;;
Photo;2;2;101;19;122;;;
Status;3;2;99;16;117;;;
Photo;2;10;140;8;158;;;
Link;1;2;130;31;163;;;
Photo;2;3;270;38;311;;;
Photo;2;3;30;6;39;;;
Photo;2;2;107;17;126;;;
Photo;2;13;331;77;421;;;
Photo;2;0;78;13;91;;;
Photo;2;9;301;32;342;;;
Photo;2;2;111;16;129;;;
Photo;2;2;124;22;148;;;
Photo;2;5;153;27;185;;;
Photo;2;3;51;11;65;;;
Photo;2;1;115;26;142;;;
Status;3;7;310;61;378;;;
Photo;2;12;328;90;430;;;
Photo;2;0;0;0;0;;;
Photo;2;26;1505;95;1626;;;
Photo;2;2;63;14;79;;;
Photo;2;0;13;4;17;;;
Photo;2;4;59;9;72;;;
Photo;2;42;955;139;1136;;;
Photo;2;9;181;32;222;;;
Status;3;17;193;28;238;;;
Photo;2;7;125;16;148;;;
Status;3;4;217;50;271;;;
Photo;2;2;28;4;34;;;
Photo;2;4;117;18;139;;;
Photo;2;2;79;16;97;;;
Photo;2;0;15;2;17;;;
Photo;2;0;4;2;6;;;
Photo;2;1;431;26;458;;;
Photo;2;0;7;0;7;;;
Photo;2;0;7;2;9;;;
Photo;2;0;6;2;8;;;
Status;3;6;186;40;232;;;
Photo;2;1;1;2;4;;;
Photo;2;1;3;2;6;;;
Photo;2;0;7;2;9;;;
Photo;2;3;198;41;242;;;
Photo;2;0;9;1;10;;;
Photo;2;0;4;1;5;;;
Photo;2;0;3;0;3;;;
Photo;2;0;8;2;10;;;
Photo;2;0;7;3;10;;;
Photo;2;1;7;2;10;;;
Photo;2;0;11;1;12;;;
Photo;2;2;28;4;34;;;
Photo;2;0;56;12;68;;;
Link;1;0;32;16;48;;;
Photo;2;4;32;3;39;;;
Status;3;0;129;25;154;;;
Photo;2;4;77;19;100;;;
Link;1;15;143;44;202;;;
Status;3;2;227;36;265;;;
Status;3;60;859;90;1009;;;
Photo;2;10;377;60;447;;;
Photo;2;3;41;9;53;;;
Photo;2;6;76;14;96;;;
Photo;2;0;189;15;204;;;
Photo;2;0;80;14;94;;;
Status;3;3;148;28;179;;;
Link;1;0;24;11;35;;;
Photo;2;24;302;41;367;;;
Photo;2;2;166;32;200;;;
Photo;2;47;358;49;454;;;
Photo;2;7;161;25;193;;;
Photo;2;13;319;55;387;;;
Photo;2;0;54;16;70;;;
Photo;2;16;117;30;163;;;
Photo;2;1;115;21;137;;;
Photo;2;30;187;35;252;;;
Photo;2;1;84;13;98;;;
Photo;2;6;363;40;409;;;
Photo;2;6;244;32;282;;;
Photo;2;22;290;98;410;;;
Status;3;4;243;41;288;;;
Photo;2;0;113;19;132;;;
Photo;2;2;77;5;84;;;
Photo;2;8;485;64;557;;;
Photo;2;144;1622;208;1974;;;
Photo;2;6;99;16;121;;;
Photo;2;3;188;26;217;;;
Photo;2;2;30;6;38;;;
Status;3;38;163;27;228;;;
Photo;2;6;179;40;225;;;
